Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-06;64.14;64.16;64.68;65.82;63.83;64.10;64.648;10683894;690617327.75;14451;
2019-09-05;64.53;64.56;61.37;64.58;61.35;64.50;63.639;17101993;1087902858.18;16431;
2019-09-04;60.61;60.64;60.18;61.04;59.90;60.64;60.657;9849865;597412607.39;7201;
2019-09-03;59.71;59.73;60.39;60.59;59.59;59.73;60.00;7538743;452324517.54;9555;
2019-09-02;60.44;60.45;61.24;61.47;60.39;60.43;60.77;5736859;348799497.05;6233;
2019-08-30;61.01;61.04;61.15;61.68;60.80;61.30;61.309;8554793;524478060.89;7384;
2019-08-29;60.96;60.98;60.05;61.00;60.00;61.00;60.786;7696034;467831276.33;7296;
2019-08-28;60.28;60.31;61.00;61.01;59.98;60.24;60.272;7908488;476671032.33;9179;
2019-08-27;60.55;60.58;59.93;61.16;59.64;60.80;60.679;13953983;846452224.52;8894;
2019-08-26;59.71;59.73;59.20;59.93;58.89;59.58;59.497;4115123;244842310.89;5306;
2019-08-23;59.76;59.79;60.85;61.15;59.60;59.60;60.136;8663409;520989533.44;10030;
2019-08-22;60.44;60.49;59.24;60.74;59.24;60.47;60.248;6318402;380622053.94;6766;
2019-08-21;59.21;59.22;59.07;59.71;58.98;59.24;59.366;5143436;305381667.53;6287;
2019-08-20;59.07;59.11;59.40;59.65;58.94;59.01;59.173;5524619;330108449.65;6660;
2019-08-19;59.25;59.27;59.86;60.25;59.05;59.50;59.483;6441225;384065616.09;6411;
2019-08-16;59.26;59.28;57.80;59.37;57.69;59.37;58.885;8913796;524870903.3;8954;
2019-08-15;57.55;57.58;58.01;58.30;57.20;57.62;57.629;8441503;486473546.58;10842;
2019-08-14;57.91;57.94;59.95;60.05;57.75;57.80;58.483;9701368;567487890.47;12171;
2019-08-13;60.05;60.08;60.15;60.50;59.54;59.95;59.905;9769456;585265511.07;9710;
2019-08-12;60.29;60.31;60.70;61.29;60.25;60.30;60.576;5709144;345839892.11;7148;
2019-08-09;60.70;60.72;60.78;61.71;60.53;60.60;60.922;6638930;404468404.07;8099;
2019-08-08;60.89;60.93;61.00;61.35;60.52;60.94;60.914;10463946;637393075.98;8538;
2019-08-07;60.60;60.63;60.83;61.27;60.15;60.58;60.67;8139156;493662443.33;8815;
2019-08-06;60.80;60.81;60.70;62.08;60.29;60.69;61.098;8736191;533769944.18;10744;
2019-08-05;61.16;61.18;60.59;61.73;60.10;60.81;60.904;9442766;575095538.17;10968;
2019-08-02;61.04;61.07;61.00;61.64;60.45;60.91;61.043;8268986;504788183;9697;
2019-08-01;61.99;62.02;62.00;62.98;61.87;61.87;62.183;5897377;366713949.62;6806;
2019-07-31;62.05;62.07;62.00;62.19;61.71;62.00;61.978;6163220;381978609.95;6326;
2019-07-30;62.01;62.03;62.70;62.90;61.76;61.82;62.052;6585067;408613118.56;7963;
2019-07-29;62.64;62.66;62.65;62.91;62.13;62.71;62.534;7919762;495250560.21;10008;
2019-07-26;62.74;62.76;63.00;63.40;62.48;62.55;62.755;7473467;468998160.61;8584;
2019-07-25;63.12;63.14;63.40;64.06;62.81;62.96;63.351;10592350;671048184.03;12311;
2019-07-24;63.12;63.13;64.35;64.35;62.92;63.00;63.281;10182285;644292871.87;11042;
2019-07-23;64.30;64.34;63.65;64.60;63.46;64.35;64.201;7954746;510704779.2;8527;
2019-07-22;63.48;63.50;64.50;64.65;63.33;63.33;63.649;12733975;813308369.19;13662;
2019-07-19;64.49;64.53;65.12;65.65;64.30;64.55;64.737;12856265;832294392.58;14371;
2019-07-18;64.98;64.99;67.10;67.11;64.35;65.12;65.485;21800566;1427643941.1;26146;
