Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-05;37.12;37.24;36.68;37.60;36.68;37.18;37.128;231888;8609455.26;482;
2019-09-04;36.66;36.74;36.96;37.34;36.66;36.74;36.883;88375;3259555.56;358;
2019-09-03;36.88;36.98;36.72;37.08;36.28;37.00;36.683;195474;7170631.18;490;
2019-09-02;36.62;36.70;37.48;37.70;36.56;36.70;37.152;159042;5908718.04;442;
2019-08-30;37.04;37.14;36.82;37.54;36.66;37.16;37.077;274079;10162167.6;637;
2019-08-29;36.64;36.76;36.36;36.94;35.80;36.82;36.542;174205;6365721.26;599;
2019-08-28;35.90;35.96;35.68;36.08;35.12;35.96;35.709;193392;6905811.22;564;
2019-08-27;35.76;35.84;36.92;36.92;35.68;35.68;36.13;184540;6667347.42;543;
2019-08-26;36.56;36.64;36.54;37.04;36.54;36.78;36.643;147726;5413043.84;429;
2019-08-23;36.58;36.66;37.34;37.78;36.40;36.66;36.905;370139;13659956.16;1104;
2019-08-22;37.28;37.38;38.82;38.82;37.16;37.28;37.729;169204;6383877.94;517;
2019-08-21;38.74;38.80;38.38;38.96;38.06;38.74;38.687;215398;8333191.74;724;
2019-08-20;37.94;38.04;37.80;38.62;37.62;38.10;38.11;137700;5247769;480;
2019-08-19;37.96;38.06;38.02;39.02;37.86;38.00;38.385;295473;11341578.7;796;
2019-08-16;38.02;38.10;37.72;38.86;37.70;38.00;38.185;208804;7973191.32;630;
2019-08-15;37.66;37.72;37.86;38.52;35.50;37.74;37.15;598233;22224344.78;1523;
2019-08-14;38.80;38.92;39.92;40.00;38.60;38.88;39.175;246336;9650158.5;882;
2019-08-13;39.84;39.94;39.20;40.14;38.28;39.84;39.163;544759;21163747.8;874;
2019-08-12;39.24;39.36;40.52;40.88;39.22;39.22;39.748;208706;8295720.24;656;
2019-08-09;40.64;40.74;42.34;42.34;40.52;40.52;41.213;314600;12965749;962;
2019-08-08;42.32;42.46;42.58;43.26;42.20;42.34;42.689;197170;8416955.76;629;
2019-08-07;42.32;42.48;42.10;43.00;41.94;42.40;42.252;269064;11368393.72;746;
2019-08-06;42.24;42.36;41.92;43.18;41.68;42.26;42.377;270915;11480449.16;809;
2019-08-05;42.06;42.12;41.88;42.36;41.06;42.06;41.908;394720;16541458.28;1005;
2019-08-02;42.42;42.52;42.54;43.04;42.00;42.42;42.409;301647;12792588.82;620;
2019-08-01;42.98;43.14;42.18;43.18;42.18;43.00;42.709;141646;6049574;520;
2019-07-31;42.56;42.68;42.40;43.02;41.92;42.46;42.28;460439;19467112.42;883;
2019-07-30;42.34;42.50;42.58;42.88;42.10;42.44;42.413;268226;11376368.76;654;
2019-07-29;42.68;42.72;43.56;44.30;42.44;42.58;43.129;211309;9113612.96;619;
2019-07-26;43.68;43.76;43.30;43.86;42.70;43.56;43.375;120647;5233108.3;472;
2019-07-25;43.50;43.68;42.70;43.82;42.60;43.52;43.332;359319;15569909.96;748;
2019-07-24;43.06;43.14;44.92;44.92;42.20;43.00;42.982;463722;19929550.72;1333;
2019-07-23;44.82;45.00;44.90;45.36;43.00;44.72;44.367;558509;24779103.14;1274;
2019-07-22;44.52;44.64;41.10;45.76;40.60;44.90;44.218;1495890;66126751.04;3128;
2019-07-19;41.00;41.20;39.40;41.84;37.18;41.10;39.598;998601;39542871.66;2475;
2019-07-18;40.84;40.92;41.78;41.86;40.24;40.90;40.765;226297;9224923.34;619;
2019-07-17;41.48;41.60;42.28;42.88;41.36;41.66;41.707;208449;8693840.54;567;
2019-07-16;42.22;42.44;42.94;43.22;42.10;42.24;42.418;91773;3892829.74;330;
2019-07-15;42.78;42.90;42.98;43.50;42.54;42.92;43.04;164102;7062892.6;468;
2019-07-12;42.86;42.92;41.70;43.00;41.70;42.96;42.611;208601;8888695.74;530;
2019-07-11;41.82;41.94;41.50;41.98;41.14;41.78;41.599;192322;8000477.66;484;
2019-07-10;41.52;41.62;42.00;42.20;40.84;41.66;41.557;281383;11693351.08;821;
2019-07-09;42.06;42.16;41.62;42.30;41.00;42.12;41.809;214274;8958557.36;596;
2019-07-08;41.66;41.76;41.50;41.92;41.18;41.70;41.578;172366;7166685.2;494;
2019-07-05;41.20;41.34;41.70;41.70;40.88;41.50;41.231;298544;12309204.68;678;
2019-07-04;41.70;41.86;42.26;42.80;41.30;41.78;41.75;298049;12443500.86;686;
2019-07-03;41.98;42.08;41.20;42.26;41.06;42.18;41.80;316223;13219879.68;755;
2019-07-02;41.50;41.58;41.90;42.24;41.40;41.40;41.827;261837;10951976.76;844;
2019-07-01;42.00;42.10;42.00;42.58;41.08;41.84;41.793;399991;16716286.32;998;
2019-06-28;41.38;41.44;44.38;44.38;41.24;41.30;42.058;469438;19743442.62;1498;
2019-06-27;43.10;43.22;41.84;43.62;41.64;43.34;42.825;368745;15791511.95;1058;
2019-06-26;41.36;41.46;41.60;42.20;41.20;41.44;41.578;242818;10096395.45;744;
2019-06-25;42.00;42.04;43.14;44.00;41.68;41.80;42.258;394593;16674551.56;1103;
2019-06-24;43.22;43.34;44.76;45.18;43.18;43.18;43.87;226087;9918352.9;862;
2019-06-20;44.46;44.62;44.40;45.50;44.36;44.48;45.026;637013;28681998.06;1297;
2019-06-19;44.20;44.34;44.70;45.50;43.88;44.40;44.906;293500;13179792.56;974;
2019-06-18;44.68;44.86;44.22;44.98;42.88;44.62;43.999;302435;13306855.56;788;
2019-06-17;43.64;43.76;43.10;44.78;42.30;43.86;43.801;745560;32656342.76;1637;
2019-06-14;42.74;42.90;42.68;43.64;42.50;42.88;43.006;222991;9590006.37;621;
2019-06-13;42.68;42.80;44.50;45.22;42.64;42.68;43.716;377202;16489583.54;978;
2019-06-12;43.84;43.94;44.00;44.16;43.02;44.00;43.749;344638;15078026.37;846;
2019-06-11;43.92;44.02;45.66;46.38;43.46;43.84;44.812;772039;34599908.12;1977;
2019-06-10;45.54;45.62;42.30;45.74;42.30;45.66;44.492;1327910;59100610.52;2966;
2019-06-07;40.80;40.88;40.48;41.06;39.20;40.68;40.454;445358;17953054.54;810;
2019-06-05;39.84;39.98;40.30;40.60;39.68;40.02;40.156;254859;10234003.02;727;
2019-06-04;40.24;40.32;39.16;40.72;38.38;40.20;40.065;280295;11229867.84;851;
2019-06-03;39.28;39.36;38.48;39.70;37.42;39.28;38.441;238085;9152253.24;586;
2019-05-31;38.52;38.66;39.70;39.70;36.06;38.48;37.895;577219;21873588.72;1302;
2019-05-29;39.80;39.86;41.44;41.44;39.10;39.70;39.842;348850;13898769.24;815;
2019-05-28;41.38;41.42;39.00;41.72;38.76;41.44;40.933;1016323;41601352.38;2150;
2019-05-27;38.76;38.88;38.08;39.46;37.42;38.86;38.497;460216;17717929.16;900;
2019-05-24;37.66;37.84;35.84;38.24;35.84;37.86;37.052;503799;18666798.98;1160;
2019-05-23;35.74;35.86;36.00;36.32;35.44;36.00;35.888;185172;6645451.15;676;
2019-05-22;35.66;36.00;35.54;36.34;35.16;36.00;35.602;840757;29932336.26;733;
2019-05-21;35.42;35.60;34.14;36.32;34.14;35.56;35.762;890203;31825282.26;1800;
2019-05-20;34.18;34.38;35.20;35.48;33.90;34.40;34.525;263533;9097118.83;779;
2019-05-17;34.88;35.12;34.52;35.42;34.30;35.12;34.914;107506;3753451.3;441;
2019-05-16;34.78;35.02;33.24;35.20;33.10;34.88;34.334;499398;17146496.82;1292;
2019-05-15;33.12;33.34;34.00;34.28;32.88;33.16;33.389;100986;3371838;404;
2019-05-14;33.52;33.68;32.68;33.76;32.66;33.68;33.393;99552;3324313.66;372;
2019-05-13;32.68;32.80;33.50;33.50;32.56;32.76;32.763;153889;5041883.88;970;
2019-05-10;33.36;33.52;32.56;33.50;32.56;33.44;33.065;127021;4199892.78;390;
2019-05-09;32.56;32.78;33.58;33.58;32.30;32.56;32.758;125477;4110331.34;363;
2019-05-08;33.62;33.74;32.78;34.24;32.78;33.58;33.506;155344;5205003.52;449;
2019-05-07;32.84;32.92;33.22;33.76;32.72;32.84;33.134;139310;4615844.06;404;
2019-05-06;33.32;33.44;34.18;34.18;33.14;33.22;33.427;178072;5952450.24;433;
2019-05-03;34.26;34.42;34.50;34.62;34.06;34.28;34.281;154617;5300493.86;575;
2019-05-02;34.52;34.78;34.50;34.90;34.00;34.62;34.522;113285;3910792.38;363;
2019-04-30;34.94;35.06;34.90;35.36;34.58;35.02;34.942;60951;2129771.42;240;
2019-04-29;34.54;34.92;36.38;36.98;34.28;34.92;35.375;337981;11956070.92;911;
2019-04-26;35.40;35.80;34.08;37.22;34.08;36.00;36.108;911697;32919510.14;1921;
2019-04-25;33.86;33.98;34.00;34.62;33.54;34.08;34.24;208671;7144828.26;601;
2019-04-24;33.82;33.96;33.38;34.00;33.30;33.96;33.837;103810;3512620.36;331;
2019-04-23;33.30;33.36;33.50;33.58;33.00;33.30;33.235;136136;4524532.86;437;
2019-04-18;33.48;33.60;34.00;34.08;33.16;33.60;33.545;134215;4502180;327;
2019-04-17;33.86;33.98;34.20;34.78;33.86;33.98;34.268;107149;3671759.92;425;
2019-04-16;33.92;34.04;34.00;34.38;33.56;34.16;33.967;86754;2946729.26;324;
2019-04-15;33.74;33.84;34.50;34.74;33.72;33.88;34.153;139424;4761730.8;454;
2019-04-12;34.40;34.52;33.70;34.60;33.44;34.50;34.167;193064;6596456.62;487;
2019-04-11;33.62;33.74;33.70;34.50;33.60;33.70;34.089;184198;6279037.91;526;
2019-04-10;33.40;33.54;32.82;33.60;32.16;33.54;32.729;223928;7328841.74;650;
2019-04-09;32.94;33.04;33.40;33.66;32.82;32.82;33.22;160462;5330554.36;459;
2019-04-08;33.24;33.46;34.00;34.00;33.10;33.40;33.384;150780;5033658.1;481;
2019-04-05;34.20;34.30;35.00;35.24;34.10;34.10;34.537;130903;4520930.76;417;
2019-04-04;34.74;34.92;34.74;35.72;34.00;35.00;35.091;551431;19350525.51;1073;
2019-04-03;33.56;33.70;34.00;34.40;32.70;33.78;33.974;748191;25416674.19;628;
2019-04-02;33.52;33.68;33.56;33.88;33.10;33.88;33.401;176150;5883647.44;508;
2019-04-01;33.26;33.40;32.50;33.86;32.44;33.56;33.137;193614;6415727.61;567;
2019-03-29;32.50;32.60;32.20;32.92;31.94;32.50;32.338;115182;3724794.14;303;
2019-03-28;32.18;32.26;31.56;32.30;31.20;32.30;31.905;98491;3142314.28;360;
2019-03-27;31.30;31.46;32.00;32.00;31.26;31.58;31.591;84345;2664515.2;310;
2019-03-26;31.74;31.92;31.02;31.92;30.86;31.86;31.359;90733;2845299.04;274;
2019-03-25;31.18;31.32;32.18;32.18;31.00;31.36;31.452;155976;4905731.34;387;
2019-03-22;32.38;32.50;32.20;32.66;31.68;32.32;32.256;160138;5165456.48;383;
2019-03-21;32.12;32.18;33.44;33.44;31.98;32.14;32.429;312613;10137578.5;712;
2019-03-20;33.36;33.40;32.08;33.74;31.66;33.38;33.047;360494;11914634.44;656;
2019-03-19;32.14;32.34;32.06;32.54;31.80;32.10;32.162;116358;3742292.62;334;
2019-03-18;32.10;32.18;33.00;33.28;32.02;32.12;32.655;250970;8194950.29;598;
2019-03-15;32.88;32.98;31.94;33.10;31.60;32.94;32.455;317390;10300710.88;644;
2019-03-14;31.94;32.04;32.30;32.32;31.66;32.08;32.01;162060;5186393.65;395;
2019-03-13;32.18;32.22;31.52;32.36;31.38;32.32;32.111;114014;3661120.98;330;
2019-03-12;31.78;31.86;32.00;32.38;31.54;31.88;32.001;131720;4215103.02;386;
2019-03-11;32.08;32.14;32.08;32.38;31.84;32.12;32.105;136181;4372100.66;391;
2019-03-08;32.22;32.36;31.32;32.94;31.32;32.20;32.315;308879;9979995.87;738;
2019-03-07;31.28;31.34;32.10;32.10;30.70;31.32;31.17;313695;9777949.12;768;
2019-03-06;32.28;32.38;32.52;32.80;32.14;32.38;32.36;142914;4624651.93;448;
2019-03-05;32.50;32.64;33.00;33.04;32.08;32.50;32.468;246545;8004791.54;524;
2019-03-04;32.90;33.00;33.20;33.62;32.68;32.90;33.017;189404;6253561.6;500;
2019-03-01;33.10;33.16;33.42;33.80;32.80;33.18;33.118;208564;6907244.32;585;
2019-02-28;33.20;33.26;34.50;34.50;33.20;33.40;33.621;358041;12037839.06;670;
2019-02-27;34.42;34.50;35.14;35.14;34.10;34.50;34.406;225400;7755158.04;528;
2019-02-26;35.02;35.12;35.74;35.80;35.00;35.14;35.335;198219;7004051.64;507;
2019-02-25;35.76;35.82;34.18;35.96;34.10;35.74;35.312;396430;14002402.64;834;
2019-02-22;34.10;34.18;34.56;34.74;33.54;34.02;34.086;296827;10117651.24;616;
2019-02-21;34.56;34.62;34.60;34.84;34.08;34.60;34.486;223928;7722378.84;474;
2019-02-20;34.64;34.70;35.42;35.44;34.44;34.58;34.762;199271;6926963.56;530;
2019-02-19;35.32;35.54;35.78;36.16;35.18;35.42;35.585;106520;3790497.22;364;
2019-02-18;35.62;35.80;35.76;35.92;35.14;35.78;35.539;104830;3725573.18;375;
2019-02-15;35.76;35.94;34.74;36.38;34.64;35.76;35.644;274934;9799689.72;731;
2019-02-14;34.76;35.08;35.26;35.68;34.16;34.96;34.634;304704;10553156.52;631;
2019-02-13;35.28;35.54;35.86;36.48;35.24;35.26;35.769;201423;7204593.28;453;
2019-02-12;35.62;35.74;35.40;36.26;35.18;35.50;35.769;160576;5743675.26;384;
2019-02-11;35.24;35.32;34.26;35.40;34.00;35.38;34.987;256845;8986110;546;
2019-02-08;34.40;34.50;35.44;35.68;33.92;34.26;34.623;330351;11437830.28;845;
2019-02-07;35.68;35.72;36.40;37.20;35.44;35.44;36.332;545870;19832200.6;876;
2019-02-06;36.02;36.30;32.22;36.90;32.00;36.38;34.967;964318;33719699.04;1974;
2019-02-05;33.60;33.68;33.80;34.44;33.30;33.60;33.794;266002;8989358.26;493;
2019-02-04;33.70;33.80;33.52;33.98;33.50;33.76;33.688;140794;4743116.64;369;
2019-02-01;33.48;33.58;33.66;34.06;33.42;33.54;33.679;130253;4386828.06;347;
2019-01-31;33.40;33.48;34.16;34.60;33.10;33.66;33.497;298451;9997238.78;559;
2019-01-30;33.92;34.04;33.64;34.40;33.64;34.16;34.021;142498;4847983.12;359;
2019-01-29;33.56;33.70;33.50;35.02;33.14;33.70;34.159;248775;8497870.2;520;
2019-01-28;33.72;33.82;35.32;35.32;33.32;33.50;34.061;312998;10660861.68;716;
2019-01-25;35.30;35.34;34.00;35.58;33.00;35.40;34.449;481658;16592776.72;918;
2019-01-24;33.76;33.84;32.50;33.86;32.46;33.76;33.262;186042;6188135.68;583;
2019-01-23;32.14;32.26;33.30;33.30;32.04;32.14;32.521;191318;6221809.22;570;
2019-01-22;33.30;33.48;33.88;34.48;33.04;33.30;33.525;177974;5966551.62;540;
2019-01-21;34.34;34.44;35.50;35.70;33.88;34.40;34.457;249919;8611396.02;671;
2019-01-18;35.04;35.22;33.90;35.30;33.34;35.24;34.569;573723;19832860.06;1356;
2019-01-17;33.20;33.36;33.66;34.00;32.78;33.34;33.261;169533;5638767.16;467;
2019-01-16;33.38;33.46;33.42;33.56;32.60;33.56;33.183;177949;5904952.16;505;
2019-01-15;32.76;32.88;32.78;33.54;32.40;32.72;33.017;404734;13363030.01;583;
2019-01-14;32.50;32.54;32.70;32.90;32.00;32.76;32.529;217290;7068149.7;495;
2019-01-11;32.52;32.60;31.34;32.70;31.20;32.70;32.197;409222;13175709.42;790;
2019-01-10;31.20;31.30;32.44;32.44;30.52;31.08;31.246;425477;13294299.74;982;
2019-01-09;32.50;32.58;34.86;34.86;32.08;32.42;33.433;815918;27278746.32;1499;
2019-01-08;33.68;33.84;30.00;34.00;30.00;34.00;32.662;1249730;40818923.22;2661;
2019-01-07;29.52;29.54;28.36;29.78;28.16;29.78;28.978;335452;9720724.38;768;
2019-01-04;28.10;28.26;27.08;28.40;27.02;28.26;27.854;291844;8128982.54;616;
2019-01-03;27.24;27.36;28.00;28.28;27.00;27.18;27.633;327517;9050177.8;661;
2019-01-02;28.32;28.42;27.68;28.48;26.60;28.48;27.831;231744;6449650.34;591;
2018-12-28;26.94;27.06;25.88;27.74;25.88;27.08;27.091;509745;13810448.78;929;
2018-12-27;25.56;25.66;26.60;27.42;25.46;25.58;26.219;396890;10406109.04;1047;
2018-12-21;26.20;26.44;27.60;27.60;26.14;26.22;26.661;700669;18680695.24;1610;
2018-12-20;27.70;27.74;29.62;29.62;27.38;27.70;28.308;547112;15487778.7;1135;
2018-12-19;29.76;29.86;29.48;29.86;28.98;29.84;29.379;253152;7437450.36;445;
2018-12-18;29.28;29.42;29.88;30.68;29.22;29.42;29.899;345779;10338431.62;579;
2018-12-17;29.82;29.88;29.72;29.90;29.18;29.88;29.467;156562;4613441.02;427;
2018-12-14;29.64;29.72;29.70;29.88;29.16;29.80;29.537;269279;7953617.62;554;
2018-12-13;29.86;29.90;30.82;31.12;29.84;29.96;30.245;187307;5665028.74;496;
2018-12-12;30.66;30.80;31.46;31.46;30.30;30.82;30.825;231402;7132920.92;536;
2018-12-11;30.86;31.08;29.60;31.66;29.60;31.14;30.946;297188;9196663.02;638;
2018-12-10;29.60;29.64;30.38;30.56;29.52;29.52;29.903;180125;5386254.94;465;
2018-12-07;30.42;30.60;30.96;31.92;30.46;30.62;31.069;217812;6767081.52;584;
2018-12-06;30.64;30.80;29.98;30.94;29.20;30.70;29.81;282927;8434035.54;607;
2018-12-05;30.02;30.16;29.98;30.74;29.24;30.10;30.156;189127;5703342.8;424;
2018-12-04;30.04;30.14;30.50;30.66;29.74;30.12;30.124;180726;5444202.6;520;
2018-12-03;30.60;30.68;31.62;32.40;30.50;30.50;31.296;269596;8437243.38;556;
2018-11-30;31.68;31.82;31.70;32.16;31.10;31.72;31.548;189413;5975524.16;402;
2018-11-29;32.16;32.30;32.00;32.72;31.88;32.04;32.23;317965;10247962.48;624;
2018-11-28;31.58;31.68;30.16;32.20;30.00;31.70;31.282;421599;13188486.76;898;
2018-11-27;30.16;30.28;30.38;30.76;29.86;30.18;30.244;365700;11060283.78;789;
2018-11-26;30.54;30.60;29.80;30.72;29.34;30.58;30.069;330382;9934300.02;792;
2018-11-23;29.68;29.80;30.00;30.78;29.60;29.70;29.937;277973;8321788.54;733;
2018-11-22;29.80;29.86;31.88;31.88;29.30;29.70;30.044;628413;18879937.44;1173;
2018-11-21;31.56;31.76;29.70;31.90;29.52;31.90;30.924;419991;12987972.18;841;
2018-11-20;29.58;29.66;29.70;29.80;28.58;29.68;29.168;863234;25178808;1498;
2018-11-19;29.90;29.96;30.82;31.20;29.80;29.82;30.39;274555;8343661.14;657;
2018-11-16;30.74;30.84;31.40;31.56;30.50;30.70;30.892;261377;8074451.44;549;
2018-11-15;30.98;31.10;32.58;32.58;30.74;31.00;31.556;342506;10808042.54;721;
2018-11-14;31.78;31.92;31.52;32.82;30.54;32.00;31.565;545723;17225982.15;1087;
2018-11-13;31.70;31.80;32.80;33.18;31.04;31.62;32.028;772988;24757478.94;1440;
2018-11-12;32.66;32.76;33.40;33.44;32.58;32.80;32.99;319756;10548848.86;563;
2018-11-09;33.34;33.50;33.22;33.82;32.88;33.48;33.516;163005;5463230.36;420;
2018-11-08;33.24;33.38;33.78;33.92;32.80;33.36;33.311;253345;8439133.86;601;
2018-11-07;33.64;33.74;33.82;34.44;33.70;33.78;34.058;179995;6130304.26;552;
2018-11-06;33.80;33.88;34.28;34.50;33.40;34.06;33.90;206290;6993277.54;564;
2018-11-05;33.94;34.08;34.02;34.42;33.30;33.96;33.914;201019;6817282.36;574;
2018-11-02;33.92;33.98;32.70;34.00;32.70;34.00;33.533;312246;10470631.16;744;
2018-11-01;32.54;32.62;34.02;34.10;32.54;32.56;33.056;760073;25125506.25;1829;
2018-10-31;33.80;33.90;35.00;35.12;33.56;34.00;34.226;445062;15232727.88;972;
2018-10-30;34.20;34.30;34.52;34.60;33.18;34.44;33.835;480878;16270461.62;1428;
2018-10-29;34.50;34.64;33.62;35.26;32.86;34.70;34.506;460847;15902366.56;1044;
2018-10-26;32.86;32.96;32.82;34.42;32.12;33.06;32.894;563781;18545016.68;1299;
2018-10-25;32.22;32.30;35.98;35.98;31.80;32.12;33.046;2341607;77381842.98;5758;
2018-10-24;37.80;37.92;36.84;38.50;36.50;38.00;37.619;231945;8725461.9;795;
2018-10-23;36.88;36.98;37.40;37.52;36.40;36.84;36.966;369025;13641405.36;1239;
2018-10-22;37.90;37.98;38.00;38.40;37.42;37.84;37.919;197541;7490477.98;622;
2018-10-19;37.66;37.80;38.20;38.40;36.70;37.86;37.573;326013;12249126.5;904;
2018-10-18;38.20;38.26;39.00;39.08;38.00;38.20;38.469;345673;13298159.86;851;
2018-10-17;38.44;38.62;38.78;40.32;38.22;38.72;39.202;287357;11265128.28;897;
2018-10-16;38.38;38.54;36.98;39.04;36.80;38.42;38.283;170746;6538515.32;625;
2018-10-15;37.00;37.16;38.02;38.12;36.88;37.00;37.261;215206;8018813.18;722;
2018-10-12;37.40;37.60;37.60;39.38;37.40;37.68;38.20;461761;17646007.98;1219;
2018-10-11;36.92;37.08;38.02;39.00;36.78;36.86;37.705;808776;30494513.78;2041;
2018-10-10;39.64;39.80;42.06;42.06;39.50;39.78;40.458;266660;10788405.64;891;
2018-10-09;41.72;41.84;42.14;42.28;41.02;41.98;41.59;215235;8951593.98;478;
2018-10-08;42.12;42.22;44.20;44.62;41.86;42.12;42.767;469844;20093636.14;1364;
2018-10-05;42.44;42.60;41.44;42.72;40.00;42.70;41.523;224725;9331201.14;770;
2018-10-04;41.56;41.66;43.36;43.36;41.36;41.48;42.14;204861;8632838.6;678;
2018-10-03;43.08;43.22;42.92;43.38;42.90;43.38;43.152;152695;6588441.9;451;
2018-10-02;42.94;43.10;44.24;44.32;42.70;43.00;43.361;128327;5564385.06;467;
2018-10-01;44.30;44.40;44.50;44.70;43.42;44.32;44.133;162177;7157314.84;600;
