Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2019-08-23;73.12;71.94;73.12;72.07;90;6.487;
2019-08-22;71.92;71.74;71.84;71.86;467;33.559;
2019-08-21;71.98;71.81;71.81;71.86;1.433;102.978;
2019-08-20;72.76;72.11;72.76;72.61;8.615;625.523;
2019-08-19;72.10;71.85;72.10;71.94;6.583;473.571;
2019-08-16;72.86;72.61;72.86;72.77;2.397;174.430;
2019-08-15;72.61;72.24;72.61;72.54;629;45.630;
2019-08-14;72.20;71.09;72.10;71.68;1.386;99.353;
2019-08-13;72.67;70.84;71.22;71.73;9.315;668.182;
2019-08-12;71.64;71.60;71.64;71.62;134;9.598;
2019-08-09;71.45;70.80;71.27;71.24;897;63.906;
2019-08-08;71.73;71.22;71.25;71.51;12.339;882.301;
2019-08-07;71.73;70.84;71.73;71.02;2.821;200.340;
2019-08-06;70.33;69.66;70.33;70.28;74.768;5.254.321;
2019-08-05;70.56;69.89;70.00;70.31;27.378;1.924.878;
2019-08-02;69.74;68.90;69.64;69.35;19.028;1.319.543;
2019-08-01;68.04;67.81;67.90;67.93;37.771;2.565.886;
2019-07-31;68.47;68.06;68.42;68.40;19.452;1.330.477;
2019-07-30;68.33;67.65;68.05;68.16;20.825;1.419.445;
2019-07-29;67.44;67.15;67.33;67.29;5.968;401.611;
2019-07-26;67.36;67.00;67.15;67.16;11.933;801.422;
2019-07-25;67.45;66.95;66.95;67.19;5.442;365.638;
2019-07-24;67.37;66.89;67.25;67.31;6.767;455.464;
2019-07-23;67.57;66.71;67.41;67.30;7.096;477.579;
2019-07-22;67.11;66.66;67.11;66.94;6.976;466.994;
2019-07-19;67.33;66.80;67.24;67.23;2.626;176.542;
2019-07-18;66.66;66.14;66.66;66.45;7.318;486.274;
2019-07-17;66.05;65.38;66.04;65.86;3.219;211.999;
2019-07-16;66.39;66.07;66.07;66.28;1.770;117.321;
2019-07-15;66.40;65.76;65.90;66.20;14.045;929.721;
2019-07-12;66.05;65.50;66.03;65.86;3.236;213.107;
2019-07-11;66.86;65.85;65.85;66.58;4.967;330.721;
2019-07-10;66.37;65.80;66.26;66.13;7.660;506.570;
2019-07-09;66.21;65.75;66.21;65.93;3.839;253.095;
2019-07-08;66.37;66.00;66.00;66.18;4.972;329.049;
2019-07-05;66.27;65.47;65.47;66.09;10.540;696.612;
2019-07-04;66.08;65.59;66.08;65.83;9.079;597.682;
2019-07-03;66.59;65.70;66.11;66.03;15.705;1.036.923;
2019-07-02;64.99;64.63;64.90;64.78;4.167;269.950;
2019-07-01;65.04;64.20;64.99;64.48;23.083;1.488.351;
2019-06-28;65.55;65.07;65.51;65.16;7.287;474.790;
2019-06-27;65.15;64.70;65.10;64.86;19.925;1.292.376;
2019-06-26;65.48;64.82;65.30;65.18;5.526;360.206;
2019-06-25;66.49;65.80;66.25;66.22;9.888;654.740;
2019-06-24;65.59;65.18;65.59;65.51;101.722;6.663.768;
2019-06-20;65.18;64.80;65.00;64.92;10.657;691.863;
2019-06-19;64.19;63.87;64.08;64.05;7.151;457.992;
2019-06-18;64.35;63.44;63.87;63.72;7.808;497.545;
2019-06-17;63.55;63.08;63.44;63.39;12.527;794.108;
2019-06-14;64.40;63.60;63.96;64.07;27.986;1.792.924;
2019-06-13;63.49;63.10;63.49;63.30;2.693;170.459;
2019-06-12;63.11;62.61;62.88;62.95;5.501;346.285;
2019-06-11;62.49;62.05;62.49;62.16;3.085;191.752;
2019-06-10;62.55;62.22;62.50;62.39;4.358;271.891;
2019-06-07;63.19;62.58;63.14;63.03;16.581;1.045.108;
2019-06-05;63.14;62.58;62.58;62.91;10.159;639.083;
2019-06-04;62.75;62.12;62.58;62.57;9.260;579.395;
2019-06-03;62.57;62.20;62.45;62.42;39.162;2.444.303;
2019-05-31;62.11;61.54;61.93;61.97;9.959;617.197;
2019-05-29;61.72;61.45;61.54;61.58;1.157;71.246;
2019-05-28;61.27;60.72;60.90;61.02;3.757;229.263;
2019-05-27;61.67;61.30;61.30;61.48;494;30.372;
2019-05-24;61.61;61.02;61.28;61.46;3.294;202.446;
2019-05-23;62.00;61.24;61.63;61.80;5.235;323.502;
2019-05-22;61.47;61.22;61.23;61.26;1.536;94.090;
2019-05-21;61.79;61.22;61.22;61.42;8.873;545.019;
