Date;Högsta kurs;Lägsta kurs;Closing price;Genomsnittspris;Tot. vol.;Oms;
2019-09-09;200.95;199.98;200.70;200.53;247 285;49 588 364;
2019-09-06;199.98;199.00;199.62;199.44;328 710;65 558 298;
2019-09-05;199.48;197.70;199.28;198.41;1 051 104;208 690 575;
2019-09-04;197.82;196.68;197.18;197.33;1 559 012;307 635 796;
2019-09-03;196.58;195.00;195.66;196.01;413 327;81 012 868;
2019-09-02;197.22;195.70;195.76;196.11;1 490 199;292 263 471;
2019-08-30;197.48;194.56;196.24;196.00;1 113 516;218 250 223;
2019-08-29;194.36;190.88;194.36;192.94;1 112 330;214 659 523;
2019-08-28;191.08;189.10;190.86;190.13;460 167;87 490 050;
2019-08-27;191.08;189.30;190.62;190.58;334 782;63 802 615;
2019-08-26;190.26;187.64;189.98;189.35;357 374;67 669 910;
2019-08-23;193.28;190.22;190.38;192.49;1 497 227;288 195 874;
2019-08-22;192.84;191.22;191.52;191.82;1 837 171;352 520 549;
2019-08-21;193.34;191.44;192.42;192.99;744 433;143 667 508;
2019-08-20;192.96;191.32;191.46;192.27;275 940;53 043 413;
2019-08-19;192.02;190.38;191.80;191.06;173 834;33 212 969;
2019-08-16;189.52;187.36;189.50;188.99;181 132;34 232 007;
2019-08-15;188.04;184.34;186.26;185.92;205 841;38 242 225;
2019-08-14;191.98;186.88;187.18;188.46;160 479;30 243 271;
2019-08-13;192.80;188.22;191.56;190.35;1 060 640;201 941 360;
2019-08-12;193.24;190.68;191.30;191.49;545 032;104 369 365;
2019-08-09;193.00;190.80;191.12;191.66;281 617;54 122 784;
2019-08-08;193.26;192.06;193.24;192.91;427 826;82 531 003;
2019-08-07;191.90;189.02;190.38;190.62;1 016 580;193 632 726;
2019-08-06;192.42;189.52;189.94;190.99;457 960;87 466 017;
2019-08-05;193.24;190.40;191.64;191.28;915 091;175 034 976;
2019-08-02;197.66;195.20;195.32;196.29;1 654 159;325 041 393;
2019-08-01;201.80;198.52;201.25;200.83;885 176;177 773 004;
2019-07-31;200.15;199.20;199.70;199.66;509 594;101 692 178;
2019-07-30;201.70;198.76;199.44;199.69;623 411;124 478 531;
2019-07-29;201.65;200.45;201.35;201.36;851 166;171 393 226;
2019-07-26;201.35;200.40;201.00;200.88;283 164;56 882 874;
2019-07-25;202.75;199.24;200.40;201.73;757 611;152 784 006;
2019-07-24;202.50;200.70;201.20;201.05;2 314 801;465 412 538;
2019-07-23;203.10;200.45;202.80;202.57;309 625;62 719 885;
2019-07-22;200.35;199.30;199.84;199.87;262 430;52 452 880;
2019-07-19;200.10;197.54;199.86;199.25;732 778;145 983 710;
2019-07-18;198.44;196.16;196.66;197.01;593 382;116 899 969;
2019-07-17;203.20;199.30;199.32;200.75;1 060 900;212 999 616;
2019-07-16;203.65;202.10;203.40;202.87;1 710 673;347 045 831;
2019-07-15;204.25;202.00;204.00;203.38;307 719;62 582 507;
2019-07-12;203.20;201.55;202.55;202.79;384 448;77 961 106;
2019-07-11;203.25;200.85;201.20;201.70;135 307;27 291 383;
2019-07-10;204.00;202.30;202.40;203.06;555 242;112 747 900;
2019-07-09;204.20;202.70;203.55;203.43;716 990;145 859 992;
2019-07-08;205.45;203.40;204.60;204.82;183 198;37 511 381;
2019-07-05;204.80;202.05;203.80;203.09;825 858;167 736 811;
2019-07-04;206.30;205.45;205.75;206.03;450 503;92 812 220;
2019-07-03;206.50;204.80;205.40;205.61;466 241;95 864 772;
2019-07-02;205.45;204.35;205.05;204.94;310 608;63 655 488;
2019-07-01;205.10;204.00;204.70;204.63;192 431;39 373 835;
2019-06-28;202.88;201.55;202.15;202.37;3 187 615;644 933 284;
2019-06-27;202.20;200.60;201.40;201.64;488 416;98 491 808;
2019-06-26;201.00;199.00;200.00;200.15;323 867;64 652 119;
2019-06-25;201.10;200.20;200.50;200.55;571 582;114 632 151;
2019-06-24;204.05;200.70;200.90;202.21;249 552;50 404 701;
2019-06-20;203.65;202.40;202.85;203.16;231 168;46 963 218;
2019-06-19;201.55;200.45;200.90;201.12;830 602;167 054 279;
2019-06-18;201.10;196.56;200.85;199.76;1 045 486;208 956 851;
2019-06-17;198.72;197.48;198.24;198.26;865 933;171 471 785;
2019-06-14;198.98;196.98;198.40;197.69;327 294;64 854 810;
2019-06-13;200.10;198.08;199.20;199.56;327 916;65 474 112;
2019-06-12;198.92;197.06;198.76;197.94;948 142;187 684 489;
2019-06-11;199.10;196.78;198.48;198.88;535 586;106 516 837;
2019-06-10;197.50;195.98;196.28;196.52;964 529;189 566 196;
2019-06-07;195.92;192.64;195.20;195.21;1 951 452;380 805 722;
2019-06-05;192.88;191.06;192.00;192.30;650 844;125 153 154;
2019-06-04;191.56;187.98;191.40;190.81;838 280;159 680 028;
2019-06-03;189.12;186.34;189.12;187.53;723 085;135 563 594;
2019-05-31;191.00;187.64;188.08;188.50;317 216;59 818 201;
2019-05-29;193.40;191.74;191.78;192.03;351 239;67 449 029;
2019-05-28;195.72;193.90;194.88;194.72;2 363 709;460 727 814;
2019-05-27;197.22;195.18;195.32;195.44;2 014 905;393 793 093;
2019-05-24;196.78;195.20;195.92;196.26;1 789 691;351 267 317;
2019-05-23;197.20;194.18;194.18;195.85;561 430;109 958 209;
2019-05-22;200.10;197.98;198.72;199.14;1 718 810;342 290 820;
2019-05-21;200.25;199.18;199.46;199.89;1 367 409;273 335 379;
2019-05-20;200.25;197.32;198.20;198.69;1 042 343;206 872 575;
2019-05-17;201.00;198.38;200.00;199.74;508 795;101 627 771;
2019-05-16;201.40;198.14;201.25;200.05;498 958;99 779 338;
2019-05-15;199.18;196.36;198.34;197.42;655 532;129 417 108;
2019-05-14;198.36;196.60;198.36;197.80;559 655;110 737 777;
2019-05-13;199.80;196.08;196.46;197.34;375 678;74 137 009;
2019-05-10;201.45;198.62;199.40;199.92;1 072 706;214 329 352;
2019-05-09;201.50;198.74;198.88;199.94;1 751 262;350 151 757;
2019-05-08;202.30;200.65;201.90;200.92;2 852 820;573 188 978;
2019-05-07;205.65;200.70;201.05;203.03;2 379 889;481 676 217;
2019-05-06;205.60;199.06;204.10;202.59;1 589 139;322 453 449;
2019-05-03;208.25;206.60;207.70;207.82;276 537;57 470 758;
2019-05-02;207.75;206.30;206.30;207.05;870 346;180 202 519;
2019-04-30;209.90;207.65;207.75;208.25;936 941;195 020 345;
2019-04-29;210.00;208.70;209.80;209.78;2 111 982;443 041 908;
2019-04-26;209.50;208.40;208.95;208.81;1 048 990;219 301 900;
2019-04-25;210.25;206.45;208.80;208.30;1 179 915;245 774 717;
2019-04-24;208.55;206.65;207.55;207.80;1 374 186;285 491 787;
2019-04-23;207.30;205.35;206.75;206.06;375 202;77 312 726;
2019-04-18;206.70;204.40;206.55;206.37;187 006;38 482 994;
2019-04-17;205.25;203.55;204.90;204.77;1 092 779;223 765 123;
2019-04-16;204.45;203.00;203.45;203.89;771 538;157 309 758;
2019-04-15;203.25;202.30;202.75;202.79;1 003 156;203 429 285;
2019-04-12;203.00;200.90;202.65;202.51;8 618 486;1 747 372 911;
2019-04-11;201.80;200.35;201.20;201.29;617 540;124 307 989;
2019-04-10;201.15;199.16;201.15;200.41;1 829 594;366 660 380;
2019-04-09;201.50;199.16;199.48;200.42;4 715 389;944 287 247;
2019-04-08;200.35;199.18;200.30;199.84;2 918 665;583 653 857;
2019-04-05;200.30;199.02;200.30;199.84;1 803 616;360 252 939;
2019-04-04;199.48;198.20;198.58;199.00;3 963 789;788 708 574;
2019-04-03;199.00;196.56;198.90;198.25;2 853 159;565 674 782;
2019-04-02;196.24;193.90;195.54;195.60;2 947 411;576 221 820;
2019-04-01;194.12;191.88;193.84;193.34;705 020;136 332 050;
2019-03-29;192.10;190.14;190.58;191.31;1 552 327;296 519 162;
2019-03-28;191.54;189.08;189.88;190.60;1 969 978;375 024 194;
2019-03-27;191.52;189.40;189.80;190.63;337 889;64 412 551;
2019-03-26;190.48;189.36;190.38;190.13;1 383 097;262 942 378;
2019-03-25;190.78;189.02;190.46;189.50;2 638 009;500 941 845;
2019-03-22;194.54;190.70;190.74;193.37;2 386 369;461 458 774;
2019-03-21;194.48;192.98;194.18;193.49;634 965;122 900 562;
2019-03-20;195.56;194.34;194.50;194.59;1 208 834;235 384 045;
2019-03-19;195.98;193.80;195.26;194.96;1 536 783;299 619 560;
2019-03-18;194.20;192.88;193.68;193.61;753 564;145 899 092;
2019-03-15;193.00;191.26;192.88;192.28;708 422;136 214 533;
2019-03-14;192.12;190.00;192.08;191.62;546 994;104 815 339;
2019-03-13;190.26;188.72;189.86;189.97;542 502;103 059 949;
2019-03-12;190.80;189.02;189.18;189.64;1 012 441;191 970 746;
2019-03-11;189.84;188.00;189.82;189.52;343 042;65 010 713;
2019-03-08;188.50;186.96;188.50;187.66;259 574;48 710 425;
2019-03-07;190.38;187.74;188.18;188.79;1 973 529;373 110 801;
2019-03-06;191.80;189.96;190.10;190.73;639 581;121 988 767;
2019-03-05;192.16;190.48;192.16;191.43;2 761 390;528 395 332;
2019-03-04;192.40;191.02;191.96;191.68;583 960;111 883 749;
2019-03-01;191.60;190.24;190.88;191.05;503 650;96 220 016;
2019-02-28;190.88;188.38;190.04;189.69;514 105;97 518 651;
2019-02-27;191.00;190.00;190.28;190.48;1 007 936;191 951 848;
2019-02-26;191.82;190.56;191.40;191.34;955 306;182 758 250;
2019-02-25;192.94;191.02;191.94;191.49;247 848;47 461 018;
2019-02-22;192.30;190.46;191.90;191.82;1 352 094;259 352 823;
2019-02-21;192.18;190.14;190.24;190.79;1 197 774;228 527 832;
2019-02-20;192.18;190.86;191.94;191.91;811 321;155 713 176;
2019-02-19;192.26;191.04;191.86;191.57;2 492 807;477 548 467;
2019-02-18;191.80;190.46;191.40;191.11;555 592;106 249 908;
2019-02-15;191.34;187.98;190.76;190.07;921 811;175 211 028;
2019-02-14;189.64;185.28;188.70;188.91;1 406 826;265 762 955;
2019-02-13;188.74;187.26;187.92;187.96;1 309 071;246 030 733;
2019-02-12;187.36;186.34;187.04;186.96;461 104;86 207 243;
2019-02-11;186.70;185.28;186.16;186.17;722 656;134 534 835;
2019-02-08;185.50;184.14;184.60;184.98;633 044;117 098 237;
2019-02-07;188.06;185.16;185.16;186.38;867 898;161 730 865;
2019-02-06;187.70;185.96;187.50;187.32;1 049 729;196 638 462;
2019-02-05;186.54;185.08;186.42;186.21;328 911;61 250 634;
2019-02-04;184.76;183.86;184.66;184.48;69 869;12 889 698;
2019-02-01;184.62;183.20;184.24;183.97;1 281 116;235 703 999;
2019-01-31;184.40;182.04;183.00;183.02;4 054 930;741 983 015;
2019-01-30;182.48;181.00;182.24;181.99;1 526 601;277 892 381;
2019-01-29;182.02;179.56;181.70;181.58;454 547;82 537 815;
2019-01-28;181.90;180.06;180.42;180.76;756 572;136 798 395;
