Date;High price;Low price;Closing price;Average price;Total volume;Turnover;
2019-08-23;122.45;120.07;121.99;120.70;6.442;777.571;
2019-08-22;120.65;119.39;120.65;119.85;1.954;234.191;
2019-08-21;120.67;119.95;120.00;120.39;1.626;195.760;
2019-08-20;121.61;119.67;121.00;120.97;3.559;430.529;
2019-08-19;120.17;118.79;119.72;119.47;5.795;692.317;
2019-08-16;121.62;120.44;120.63;121.08;2.324;281.383;
2019-08-15;121.37;120.06;121.21;120.70;7.424;896.065;
2019-08-14;121.35;118.33;121.35;119.77;5.772;691.315;
2019-08-13;122.13;116.29;118.33;120.72;6.342;765.623;
2019-08-12;118.92;117.31;118.92;117.95;8.521;1.005.075;
2019-08-09;119.30;117.78;118.54;118.76;4.468;530.613;
2019-08-08;120.94;118.16;118.88;119.77;10.404;1.246.098;
2019-08-07;120.10;117.22;120.10;118.35;4.186;495.419;
2019-08-06;115.47;114.83;115.41;115.23;2.855;328.971;
2019-08-05;116.65;114.75;114.75;116.06;4.330;502.545;
2019-08-02;115.01;113.58;114.75;114.08;8.089;922.806;
2019-08-01;114.02;112.90;113.28;113.22;3.190;361.178;
2019-07-31;115.53;114.84;115.29;115.29;990;114.139;
2019-07-30;115.32;114.76;115.30;115.13;2.057;236.820;
2019-07-29;114.23;113.80;113.93;114.00;826;94.161;
2019-07-26;114.19;113.09;114.18;113.89;1.994;227.090;
2019-07-25;114.56;113.55;113.74;114.26;4.272;488.109;
2019-07-24;114.77;114.27;114.27;114.41;3.378;386.491;
2019-07-23;114.26;112.27;113.90;113.67;2.346;266.669;
2019-07-22;112.89;112.00;112.77;112.52;1.408;158.428;
2019-07-19;113.45;110.79;110.79;112.10;4.550;510.034;
2019-07-18;110.75;109.67;110.51;110.28;4.400;485.250;
2019-07-17;108.79;107.07;108.54;107.81;6.832;736.565;
2019-07-16;107.78;105.70;107.49;106.38;444;47.232;
2019-07-15;105.40;104.51;104.90;104.98;921;96.686;
2019-07-12;103.94;103.75;103.75;103.87;194;20.151;
2019-07-11;105.05;104.16;104.55;104.49;2.010;210.027;
2019-07-10;104.95;104.49;104.80;104.79;731;76.599;
2019-07-09;104.60;103.98;104.60;104.23;579;60.349;
2019-07-08;104.22;104.06;104.20;104.15;972;101.231;
2019-07-05;104.62;103.47;103.83;104.20;1.509;157.241;
2019-07-04;104.68;104.17;104.44;104.55;395;41.298;
2019-07-03;104.66;104.02;104.61;104.13;1.743;181.501;
